total,CNL,TNL,RNL,NRG1,ADR1
192,63,123,6,1,5
263,92,162,9,2,7
279,130,145,4,1,3
131,47,79,5,3,2
218,65,143,10,4,6
185,64,111,10,,
119,34,77,8,4,4
212,79,128,5,2,3
130,64,63,3,1,2
270,97,167,6,2,4
239,72,163,4,1,3
56,34,20,2,1,1
39,36,1,2,1,1
270,218,49,3,1,2
448,353,91,4,1,3
661,522,131,8,2,6
716,580,129,7,2,5
211,200,7,4,2,2
306,281,23,2,1,1
376,290,76,10,1,9
42,35,5,2,0,2
128,120,6,2,1,1
208,174,31,3,1,2
756,650,97,9,7,2
117,104,7,6,3,3
166,162,2,2,1,1
803,400,402,1,0,1
1790,578,1197,15,12,3
237,130,101,6,4,2
429,296,130,3,2,1
529,413,110,6,3,3
84,80,1,3,2,1
74,69,1,4,2,2
132,129,0,3,2,1
131,97,31,3,2,1
154,149,4,1,0,1
110,102,1,7,4,3
368,281,82,5,3,2
252,226,20,6,3,3
568,507,52,9,5,4
180,146,32,2,1,1
54,54,0,0,0,0
